cardCode,name,descriptionRaw,rarityRef,regionRefs,cost,type,price
01IO012,Song Luyện,Trao +3|+0 hoặc +0|+3 cho 1 đồng minh trong vòng này.,Common,['Ionia'],2,Bài phép,10
01IO012T2,Rèn Luyện Kiên Trì,Trao +0|+3 cho 1 đồng minh trong vòng này.,None,['Ionia'],2,Bài phép,0
01IO012T1,Rèn Luyện Cứng Rắn,Trao +3|+0 cho 1 đồng minh trong vòng này.,None,['Ionia'],2,Bài phép,0
01IO015,Yasuo,"Khi Làm Choáng hoặc Thu Về 1 kẻ địch, ta sẽ gây 2 sát thương lên kẻ địch đó.",Champion,['Ionia'],4,Bài quân,300
01IO015T1,Yasuo,"Khi Làm Choáng hoặc Thu Về 1 kẻ địch, ta sẽ ra đòn lên kẻ địch đó.",None,['Ionia'],4,Bài quân,0
01IO015T2,Bão Kiếm Yasuo,"Làm Choáng 1 kẻ địch đang tấn công.
Tạo 1 lá Yasuo trong bộ bài.",None,['Ionia'],2,Bài phép,0
01IO020,Người Giữ Mặt Nạ,"Khi ta được triệu hồi, trao +1|+0 cho tất cả đồng minh khác trong vòng này.",Common,['Ionia'],2,Bài quân,10
01IO045,Dấu Hiệu Xuân Sang,Hỗ Trợ: Trao Hút Máu cho đồng minh được ta hỗ trợ trong vòng này.,Common,['Ionia'],2,Bài quân,10
01IO008,Tinh Linh Lốc Xoáy,"Khi Làm Choáng hoặc Thu Về 1 bài quân, ban cho ta +2|+0.",Rare,['Ionia'],2,Bài quân,30
01IO040,Gươm Sinh Mạng Kinkou,,Common,['Ionia'],4,Bài quân,10
01IO041,Karma,Kết Thúc Vòng Đấu: Tạo trên tay 1 bài phép ngẫu nhiên thuộc khu vực đồng minh.,Champion,['Ionia'],5,Bài quân,300
01IO041T1,Karma,"Kết Thúc Vòng Đấu: Tạo trên tay 1 bài phép ngẫu nhiên thuộc khu vực đồng minh.
Khi ngươi sử dụng 1 bài phép, sao chép hiệu ứng bài phép đó lên cùng mục tiêu.",None,['Ionia'],5,Bài quân,0
01IO041T2,Tri Thức Ngàn Năm Của Karma,"Tạo trên tay 1 bài phép ngẫu nhiên khác thuộc khu vực đồng minh.
Khai Sáng: Tạo 2 bài phép thay vì 1.
Tạo 1 lá Karma trong bộ bài.",None,['Ionia'],2,Bài phép,0
01IO011,Thu Về,Thu Về 1 đồng minh.,Common,['Ionia'],1,Bài phép,10
01IO009,Zed,Tấn Công: Triệu hồi 1 lá Phân Thân Bóng Tối ở vị trí tấn công với chỉ số của ta.,Champion,['Ionia'],3,Bài quân,300
01IO009T2,Zed,Tấn Công: Triệu hồi 1 lá Phân Thân Bóng Tối ở vị trí tấn công với chỉ số và đặc điểm có lợi của ta.,None,['Ionia'],3,Bài quân,0
01IO009T3,Zed Ảo Ảnh Bóng Đêm,"Thu Về 1 đồng minh để triệu hồi vào vị trí đó 1 lá Phân Thân Bóng Tối.
Tạo 1 lá Zed trong bộ bài.",None,['Ionia'],2,Bài phép,0
01IO009T1,Phân Thân Bóng Tối,,None,['Ionia'],3,Bài quân,0
01IO014,Bô Lão Greenglade,"Khi ta được triệu hồi, ban +1|+1 cho các đồng minh trên tay.",Common,['Ionia'],3,Bài quân,10
01IO005,Poro Lanh Lợi,,Common,['Ionia'],1,Bài quân,10
01IO044,Phản Đồ Navori,"Để ta xuất trận, Thu Về 1 đồng minh.",Common,['Ionia'],2,Bài quân,10
01IO023,Hộ Vệ Đá Quý,Xuất Trận: Ban +3|+3 cho 1 đồng minh trên tay.,Rare,['Ionia'],5,Bài quân,30
01IO029,Gieo Mầm,Ban +1|+0 cho các đồng minh trên tay.,Rare,['Ionia'],2,Bài phép,30
01IO003,Dấu Ấn Tử Thần,Xóa bỏ Cảm Tử khỏi 1 đồng minh và chuyển sang cho 1 kẻ địch.,Rare,['Ionia'],3,Bài phép,30
01IO047,Hắc Hỏa,Ban Cảm Tử cho TẤT CẢ tùy tùng đang chiến đấu.,Epic,['Ionia'],6,Bài phép,120
01IO026,Sư Phụ Nhiệt Huyết,Xuất Trận: Ban +1|+0 cho 1 đồng minh trên tay.,Common,['Ionia'],1,Bài quân,10
01IO024,Bình Minh Và Hoàng Hôn,Triệu hồi 2 bản sao y hệt của 1 đồng minh. Bản sao có Cảm Tử.,Rare,['Ionia'],6,Bài phép,30
01IO028,Rùa Lưng Vẩy,Xuất Trận: Ban cho ta +3|+0 hoặc +0|+3.,Common,['Ionia'],3,Bài quân,10
01IO057,Sát Thủ Bóng Đêm,"Khi ta được triệu hồi, rút 1 lá bài.",Common,['Ionia'],3,Bài quân,10
01IO028T2,Rùa Lưng Vẩy,,None,['Ionia'],3,Bài quân,0
01IO028T1,Rùa Lưng Vẩy,,None,['Ionia'],3,Bài quân,0
01IO032,Shen,Hỗ Trợ: Trao Lá Chắn cho đồng minh được ta hỗ trợ trong vòng này.,Champion,['Ionia'],4,Bài quân,300
01IO032T1,Shen,"Hỗ Trợ: Trao Lá Chắn cho đồng minh được ta hỗ trợ trong vòng này.
Khi 1 đồng minh nhận Lá Chắn, trao +3|+0 cho đồng minh đó trong vòng này.",None,['Ionia'],4,Bài quân,0
01IO032T2,Shen Nhất Thống,"Đổi chỗ và trao Lá Chắn cho 2 đồng minh trong vòng này.
Tạo 1 lá Shen trong bộ bài.",None,['Ionia'],6,Bài phép,0
01IO013,Quỷ Dữ Bóng Tối,,Common,['Ionia'],1,Bài quân,10
01IO018,Xông Pha,Trao +1|+0 và Đột Kích cho 1 đồng minh trong vòng này.,Common,['Ionia'],1,Bài phép,10
01IO056,Yone Truy Phong,Xuất Trận: Làm Choáng 2 kẻ địch.,Rare,['Ionia'],6,Bài quân,30
01IO056T1,Song Kiếm Đoạt Hồn,Làm Choáng 2 kẻ địch.,None,['Ionia'],0,Kỹ năng,0
01IO016,Phong Kiếm Hiền Nhân,Xuất Trận: Tạo 1 bản sao y hệt của 1 lá bài trên tay không phải là Phong Kiếm Hiền Nhân.,Rare,['Ionia'],6,Bài quân,30
01IO036,Lính Canh Greenglade,Ra Đòn: Giảm 1 tiêu hao của bài quân có tiêu hao cao nhất trên tay.,Common,['Ionia'],2,Bài quân,10
01IO033,Minah Phong Cước,Xuất Trận: Thu Về 3 kẻ địch.,Epic,['Ionia'],9,Bài quân,120
